"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","slider_start","png","strokes","question_order"
"pavlovia","0","1295","0.0-0.0","","","","","","",""
"html-keyboard-response","1","4357","0.0-1.0","3062","
        <p>Welcome!</p>
        <p> Sorry I mixed up the folder thing. And more mistakes, yayyyyy.</p>
        <p style=""text-align:left; color:red""> Press any key to continue.<br>Yay HTML </p>
        ","7","","","",""
"image-slider-response","2","8894","0.0-2.0","4536","img/tomato.webp","100","50","","",""
"image-slider-response","3","13627","0.0-3.0","4730","img/blurple.png","96","50","","",""
